id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
147;15;JAMBI;1509;150904;1011511;RIMBO BUJANG II;KEL. WIROTHO AGUNG, KEC. RIMBO BUJANG;RAWAT INAP;PERKOTAAN
148;15;JAMBI;1509;150904;1012502;TEGAL ARUM;JL. DIPONEGORO;NON RAWAT INAP;PERDESAAN
149;15;JAMBI;1509;150907;1011512;RIMBO BUJANG IX;DS. SUKA DAMAI , KEC. RIMBO ULU;RAWAT INAP;PERDESAAN
150;15;JAMBI;1509;150907;1012503;SUMBER SARI;JL. JAYAPURA, DESA SUMBER SARI;NON RAWAT INAP;PERDESAAN
151;15;JAMBI;1509;150908;1011513;ALAI ILIR;DS. KARANG DADI, KEC. RIMBO ILIR;RAWAT INAP;PERDESAAN
152;15;JAMBI;1509;150903;1011514;PULAU TEMIANG;JL. PADANG LAMO DS. PULAU, KEC. TEBO ULU;RAWAT INAP;PERDESAAN
153;15;JAMBI;1509;150903;1012654;TELUK KEMBANG JAMBU;JL. PADANG LAMO DS TELUK KEMBANG JAMBU, KEC. TEBO ULU;NON RAWAT INAP;PERDESAAN
154;15;JAMBI;1509;150906;1011515;SUNGAI ABANG;JL. PADANG LAMO DS. SEI ABANG, KEC. VII KOTO;RAWAT INAP;PERDESAAN
155;15;JAMBI;1509;150906;1011516;TELUK LANCANG;DS. TELUK LANCANG, KEC. VII KOTO;RAWAT INAP;PERDESAAN
156;15;JAMBI;1509;150910;1011517;SP II SEKUTUR JAYA;DS. SEKUTUR JAYA (SP2), KEC. SERAI SERUMPUN;RAWAT INAP;TERPENCIL
157;15;JAMBI;1509;150911;1011518;TUO PASIR MAYANG;JL. PADANG LAMO DS. BALAI RAJO, KEC. VII KOTO ILIR;RAWAT INAP;PERDESAAN
158;15;JAMBI;1508;150806;1011519;RANTAU KELOYANG;DS. RANTAU KELOYANG, KEC. PELEPAT;NON RAWAT INAP;TERPENCIL
159;15;JAMBI;1508;150809;1011520;KUAMANG KUNING X;JL. BHAKTI HUSADA, DS.KUAMANG JAYA, KEC. PELEPAT ILIR;RAWAT INAP;TERPENCIL
160;15;JAMBI;1508;150809;1011521;KUAMANG KUNING I;DS. KUAMANG JAYA, KEC. PELEPAT ILIR;RAWAT INAP;PERDESAAN
161;15;JAMBI;1508;150809;1011522;KUAMANG JAYA;DS. KUAMANG JAYA, KEC. PELEPAT ILIR;NON RAWAT INAP;PERDESAAN
162;15;JAMBI;1508;150810;1011523;BABEKO;DS. BABEKO, KEC. BATHIN II BABEKO;NON RAWAT INAP;PERDESAAN
163;15;JAMBI;1508;150813;1012524;RIMBO TENGAH;DUSUN SUNGAI BULUH KEC. RIMBO TENGAH;NON RAWAT INAP;PERKOTAAN
164;15;JAMBI;1508;150812;1011524;MUARA BUNGO II;JL. DURIAN DS. SUNGAI ARANG, KEC. BUNGO DANI;NON RAWAT INAP;PERKOTAAN
165;15;JAMBI;1508;150803;1011525;MUARA BUNGO I;JL. KESUMA MUARO BUNGO, KEC. PASAR MUARA BUNGO;NON RAWAT INAP;PERKOTAAN
