NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
239;15;JAMBI;1503;150306;PEREKAMAN KTP;WAJIB KTP;JIWA;2;17200;2022
240;15;JAMBI;1503;150306;PEREKAMAN KTP;REKAM KTP;JIWA;2;16634;2022
241;15;JAMBI;1503;150307;PEREKAMAN KTP;WAJIB KTP;JIWA;1;17947;2022
242;15;JAMBI;1503;150307;PEREKAMAN KTP;REKAM KTP;JIWA;1;17722;2022
243;15;JAMBI;1503;150307;PEREKAMAN KTP;BELUM REKAM;JIWA;1;225;2022
244;15;JAMBI;1503;150307;PEREKAMAN KTP;WAJIB KTP;JIWA;2;18794;2022
245;15;JAMBI;1503;150307;PEREKAMAN KTP;REKAM KTP;JIWA;2;18173;2022
246;15;JAMBI;1503;150308;PEREKAMAN KTP;WAJIB KTP;JIWA;1;14574;2022
247;15;JAMBI;1503;150308;PEREKAMAN KTP;REKAM KTP;JIWA;1;14392;2022
248;15;JAMBI;1503;150308;PEREKAMAN KTP;BELUM REKAM;JIWA;1;182;2022
249;15;JAMBI;1503;150308;PEREKAMAN KTP;WAJIB KTP;JIWA;2;15103;2022
250;15;JAMBI;1503;150308;PEREKAMAN KTP;REKAM KTP;JIWA;2;14624;2022
251;15;JAMBI;1503;150309;PEREKAMAN KTP;WAJIB KTP;JIWA;1;28450;2022
252;15;JAMBI;1503;150309;PEREKAMAN KTP;REKAM KTP;JIWA;1;28115;2022
253;15;JAMBI;1503;150309;PEREKAMAN KTP;BELUM REKAM;JIWA;1;335;2022
254;15;JAMBI;1503;150309;PEREKAMAN KTP;WAJIB KTP;JIWA;2;29629;2022
255;15;JAMBI;1503;150309;PEREKAMAN KTP;REKAM KTP;JIWA;2;28669;2022
256;15;JAMBI;1503;150310;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9037;2022
257;15;JAMBI;1503;150310;PEREKAMAN KTP;REKAM KTP;JIWA;1;8878;2022
258;15;JAMBI;1503;150310;PEREKAMAN KTP;BELUM REKAM;JIWA;1;159;2022
259;15;JAMBI;1503;150310;PEREKAMAN KTP;WAJIB KTP;JIWA;2;9557;2022
260;15;JAMBI;1503;150310;PEREKAMAN KTP;REKAM KTP;JIWA;2;9115;2022
261;15;JAMBI;1503;150311;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9173;2022
262;15;JAMBI;1503;150311;PEREKAMAN KTP;REKAM KTP;JIWA;1;9100;2022
263;15;JAMBI;1503;150311;PEREKAMAN KTP;BELUM REKAM;JIWA;1;73;2022
264;15;JAMBI;1503;150311;PEREKAMAN KTP;WAJIB KTP;JIWA;2;9565;2022
265;15;JAMBI;1503;150311;PEREKAMAN KTP;REKAM KTP;JIWA;2;9311;2022
266;15;JAMBI;1504;150401;PEREKAMAN KTP;WAJIB KTP;JIWA;1;24043;2022
267;15;JAMBI;1504;150401;PEREKAMAN KTP;REKAM KTP;JIWA;1;21740;2022
268;15;JAMBI;1504;150401;PEREKAMAN KTP;BELUM REKAM;JIWA;1;2303;2022
269;15;JAMBI;1504;150401;PEREKAMAN KTP;WAJIB KTP;JIWA;2;24338;2022
270;15;JAMBI;1504;150401;PEREKAMAN KTP;REKAM KTP;JIWA;2;22120;2022
271;15;JAMBI;1504;150402;PEREKAMAN KTP;WAJIB KTP;JIWA;1;24749;2022
272;15;JAMBI;1504;150402;PEREKAMAN KTP;REKAM KTP;JIWA;1;22839;2022
273;15;JAMBI;1504;150402;PEREKAMAN KTP;BELUM REKAM;JIWA;1;1910;2022
274;15;JAMBI;1504;150402;PEREKAMAN KTP;WAJIB KTP;JIWA;2;25121;2022
275;15;JAMBI;1504;150402;PEREKAMAN KTP;REKAM KTP;JIWA;2;23177;2022
276;15;JAMBI;1504;150403;PEREKAMAN KTP;WAJIB KTP;JIWA;1;50842;2022
