no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
176;15;JAMBI;1571;157110;1571101004;Hotel Cattel ya ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Deluxe Superior ;22;44
177;15;JAMBI;1571;157110;1571101004;Hotel Nusa Wijaya ;HOTEL NON BINTANG;L;14;2,3,4,5,7,10,1 3,14,15,17,20,26 ;Standar, Deluxe Superior ;34;59
178;15;JAMBI;1571;157104;1571041004;Hotel Da’lia ;HOTEL NON BINTANG;L;9;3,7,10,13 ;Standar, Deluxe Superior ;26;38
179;15;JAMBI;1571;157101;1571011001;Hotel Kursina ;HOTEL NON BINTANG;L;6;3,7,10,13 ;Standar, Deluxe Superior ;45;91
180;15;JAMBI;1571;157104;1571041004;Hotel Matahari 2 ;HOTEL NON BINTANG;L;2;3,7,10,13 ;Standar, Deluxe Superior ;10;12
181;15;JAMBI;1571;157104;1571041003;Hotel Pinang;HOTEL NON BINTANG;L;0;3,7,10,13 ;Standar, Deluxe Superior ;10;45
182;15;JAMBI;1571;157102;1571021005;Hotel Jasmine ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Deluxe Superior ;15;39
183;15;JAMBI;1571;157104;1571041004;Hotel Camar;HOTEL NON BINTANG;L;2;3,7,10,13 ;Standar, Deluxe Superior ;18;45
184;15;JAMBI;1571;157104;1571041003;Hotel Sederhana ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Deluxe Superior ;45;100
185;15;JAMBI;1571;157104;1571041004;Hotel Wisata ;HOTEL NON BINTANG;L;0;3,7,10,13 ;Standar, Deluxe Superior ;17;94
186;15;JAMBI;1571;157101;1571011010;Hotel Tepian Batang Hari ;HOTEL NON BINTANG;L;11;3,7,10,13 ;Standar, Deluxe Superior ;28;34
187;15;JAMBI;1571;157107;1571071004;Hotel Perdana ;HOTEL NON BINTANG;L;2;3,7;Standar ;6;6
188;15;JAMBI;1571;157107;1571071005;Hotel Sehat ;HOTEL NON BINTANG;L;2;3,7;Standar ;5;7
